ID,LID,TLID,SignID,LinkID
1,1,0,0,1322
2,2,0,0,1291
3,3,0,0,1449
4,4,0,0,1865
5,5,0,0,216
6,6,0,0,1793
7,7,0,0,727
8,8,0,0,1457
9,9,0,0,1422
10,10,0,0,1125
11,11,0,0,1306
12,12,0,0,537
13,13,0,0,518
14,14,0,0,2257
