ID,LID,TLID,SignID,LinkID
1,1,0,0,293
2,2,0,0,376
3,3,0,0,411
4,4,0,0,1756
5,5,0,0,1274
6,6,0,0,430
7,7,0,0,381
8,8,0,0,497
9,9,0,0,1179
10,10,0,0,712
11,11,0,0,1095
