LID,BPID,FPID,BLID,FLID
1,1326,1327,0,2
2,1327,1328,1,3
3,1328,1329,2,4
4,1329,1330,3,5
5,1330,1331,4,6
6,1331,1332,5,7
7,1332,1333,6,8
8,1333,1334,7,9
9,1334,1335,8,10
10,1335,1336,9,11
11,1336,1337,10,12
12,1337,1338,11,13
13,1338,1339,12,14
14,1339,1340,13,15
15,1340,1341,14,16
16,1341,1342,15,17
17,1342,1343,16,18
18,1343,1344,17,19
19,1344,1345,18,20
20,1345,1346,19,21
21,1346,1347,20,22
22,1347,1348,21,0
